movieid,genreId,genre
92,10,Horror
92,9,Thriller
93,3,Comedy
93,10,Horror
93,5,Romance
94,3,Comedy
94,6,Drama
94,5,Romance
95,7,Action
95,0,Adventure
95,9,Thriller
96,3,Comedy
96,6,Drama
97,8,Crime
97,6,Drama
99,15,Documentary
100,6,Drama
100,9,Thriller
101,0,Adventure
101,3,Comedy
101,8,Crime
101,5,Romance
102,3,Comedy
103,11,Mystery
103,12,Sci-Fi
103,9,Thriller
104,3,Comedy
105,6,Drama
105,5,Romance
106,3,Comedy
106,6,Drama
107,0,Adventure
107,2,Children
107,3,Comedy
107,14,Musical
108,15,Documentary
110,7,Action
110,6,Drama
110,13,War
111,8,Crime
111,6,Drama
111,9,Thriller
112,7,Action
112,0,Adventure
112,3,Comedy
112,8,Crime
113,6,Drama
113,11,Mystery
116,15,Documentary
117,8,Crime
117,6,Drama
118,3,Comedy
118,5,Romance
119,3,Comedy
121,6,Drama
122,3,Comedy
122,5,Romance
123,6,Drama
123,11,Mystery
123,5,Romance
125,3,Comedy
126,0,Adventure
126,2,Children
126,4,Fantasy
128,15,Documentary
129,3,Comedy
129,5,Romance
132,9,Thriller
135,3,Comedy
137,15,Documentary
140,6,Drama
140,5,Romance
141,3,Comedy
144,3,Comedy
145,7,Action
145,3,Comedy
145,8,Crime
145,6,Drama
145,9,Thriller
146,0,Adventure
146,2,Children
147,6,Drama
148,6,Drama
149,8,Crime
149,6,Drama
149,9,Thriller
150,0,Adventure
150,6,Drama
150,16,IMAX
151,7,Action
151,6,Drama
151,5,Romance
151,13,War
152,6,Drama
152,10,Horror
153,7,Action
153,0,Adventure
153,3,Comedy
153,8,Crime
154,6,Drama
155,0,Adventure
155,6,Drama
155,13,War
156,3,Comedy
156,6,Drama
157,3,Comedy
157,13,War
158,0,Adventure
158,2,Children
159,8,Crime
159,6,Drama
159,11,Mystery
160,7,Action
160,0,Adventure
160,11,Mystery
160,12,Sci-Fi
161,6,Drama
161,9,Thriller
161,13,War
162,15,Documentary
163,7,Action
163,5,Romance
163,17,Western
164,8,Crime
164,18,Film-Noir
164,11,Mystery
164,9,Thriller
165,7,Action
165,8,Crime
165,9,Thriller
166,3,Comedy
166,8,Crime
166,6,Drama
168,7,Action
168,6,Drama
168,5,Romance
169,0,Adventure
169,2,Children
169,6,Drama
170,7,Action
170,0,Adventure
170,8,Crime
170,9,Thriller
171,3,Comedy
171,6,Drama
172,7,Action
172,12,Sci-Fi
172,9,Thriller
173,7,Action
173,8,Crime
173,12,Sci-Fi
174,3,Comedy
175,6,Drama
176,3,Comedy
177,10,Horror
178,3,Comedy
178,6,Drama
179,6,Drama
179,5,Romance
180,3,Comedy
180,5,Romance
181,7,Action
181,2,Children
183,3,Comedy
183,10,Horror
183,9,Thriller
184,6,Drama
185,7,Action
185,8,Crime
185,9,Thriller
186,3,Comedy
186,5,Romance
187,3,Comedy
188,4,Fantasy
188,10,Horror
188,11,Mystery
189,3,Comedy
189,4,Fantasy
190,9,Thriller
191,6,Drama
191,5,Romance
193,6,Drama
194,3,Comedy
194,6,Drama
195,3,Comedy
195,6,Drama
195,5,Romance
196,10,Horror
196,12,Sci-Fi
198,7,Action
198,8,Crime
198,6,Drama
198,11,Mystery
198,12,Sci-Fi
198,9,Thriller
199,6,Drama
199,14,Musical
199,5,Romance
201,6,Drama
201,4,Fantasy
202,6,Drama
202,5,Romance
203,3,Comedy
204,7,Action
205,3,Comedy
205,6,Drama
206,15,Documentary
207,6,Drama
207,5,Romance
208,7,Action
208,0,Adventure
208,12,Sci-Fi
209,6,Drama
210,17,Western
211,6,Drama
212,0,Adventure
212,3,Comedy
212,8,Crime
212,11,Mystery
213,6,Drama
214,6,Drama
214,13,War
215,6,Drama
215,5,Romance
216,3,Comedy
217,6,Drama
217,9,Thriller
218,3,Comedy
218,6,Drama
219,6,Drama
220,10,Horror
222,6,Drama
222,5,Romance
223,3,Comedy
224,3,Comedy
224,6,Drama
224,5,Romance
225,6,Drama
225,9,Thriller
227,7,Action
227,9,Thriller
228,3,Comedy
229,6,Drama
229,9,Thriller
230,6,Drama
230,9,Thriller
231,0,Adventure
231,3,Comedy
232,3,Comedy
232,6,Drama
232,5,Romance
233,6,Drama
234,3,Comedy
235,3,Comedy
235,6,Drama
236,7,Action
236,3,Comedy
236,5,Romance
237,3,Comedy
237,5,Romance
238,0,Adventure
238,2,Children
239,1,Animation
239,2,Children
239,3,Comedy
239,5,Romance
240,9,Thriller
241,2,Children
241,6,Drama
242,6,Drama
242,14,Musical
243,2,Children
243,3,Comedy
243,4,Fantasy
246,15,Documentary
247,8,Crime
247,6,Drama
248,3,Comedy
249,6,Drama
249,5,Romance
250,2,Children
250,3,Comedy
251,7,Action
252,3,Comedy
252,5,Romance
253,6,Drama
253,10,Horror
254,6,Drama
255,3,Comedy
256,3,Comedy
256,12,Sci-Fi
257,11,Mystery
257,9,Thriller
258,0,Adventure
258,2,Children
258,3,Comedy
258,4,Fantasy
258,5,Romance
259,8,Crime
259,6,Drama
259,9,Thriller
260,7,Action
260,0,Adventure
260,12,Sci-Fi
261,6,Drama
262,2,Children
262,6,Drama
263,6,Drama
265,6,Drama
265,4,Fantasy
265,5,Romance
266,6,Drama
266,5,Romance
266,13,War
266,17,Western
267,3,Comedy
269,6,Drama
270,6,Drama
270,5,Romance
271,6,Drama
272,3,Comedy
272,6,Drama
273,6,Drama
273,10,Horror
273,12,Sci-Fi
274,3,Comedy
275,3,Comedy
276,3,Comedy
276,5,Romance
277,6,Drama
278,3,Comedy
279,6,Drama
280,6,Drama
280,9,Thriller
281,3,Comedy
281,6,Drama
281,5,Romance
282,6,Drama
283,8,Crime
283,6,Drama
284,7,Action
284,8,Crime
285,6,Drama
285,10,Horror
287,3,Comedy
287,5,Romance
288,7,Action
288,8,Crime
288,9,Thriller
289,3,Comedy
289,5,Romance
290,8,Crime
290,6,Drama
291,6,Drama
291,9,Thriller
292,7,Action
292,6,Drama
292,12,Sci-Fi
292,9,Thriller
293,7,Action
293,8,Crime
293,6,Drama
293,9,Thriller
294,3,Comedy
294,5,Romance
295,3,Comedy
295,5,Romance
296,3,Comedy
296,8,Crime
296,6,Drama
296,9,Thriller
298,6,Drama
299,6,Drama
300,6,Drama
301,6,Drama
301,5,Romance
302,6,Drama
302,5,Romance
303,7,Action
303,9,Thriller
303,17,Western
304,3,Comedy
304,6,Drama
305,3,Comedy
306,6,Drama
307,6,Drama
308,3,Comedy
308,6,Drama
310,3,Comedy
311,10,Horror
311,9,Thriller
312,3,Comedy
313,1,Animation
313,2,Children
314,2,Children
314,6,Drama
314,4,Fantasy
314,11,Mystery
315,7,Action
315,6,Drama
315,9,Thriller
316,7,Action
316,0,Adventure
316,12,Sci-Fi
317,3,Comedy
317,6,Drama
317,4,Fantasy
318,8,Crime
318,6,Drama
319,3,Comedy
319,6,Drama
319,9,Thriller
320,18,Film-Noir
320,9,Thriller
321,6,Drama
322,3,Comedy
322,6,Drama
324,3,Comedy
324,6,Drama
325,3,Comedy
326,6,Drama
327,7,Action
327,3,Comedy
327,12,Sci-Fi
328,10,Horror
328,9,Thriller
329,0,Adventure
329,6,Drama
329,12,Sci-Fi
330,7,Action
330,8,Crime
330,10,Horror
331,6,Drama
332,10,Horror
332,12,Sci-Fi
333,3,Comedy
334,6,Drama
335,11,Mystery
335,9,Thriller
336,6,Drama
336,13,War
337,6,Drama
338,7,Action
338,12,Sci-Fi
338,9,Thriller
339,3,Comedy
339,5,Romance
340,0,Adventure
340,6,Drama
340,13,War
341,6,Drama
342,3,Comedy
343,2,Children
344,3,Comedy
345,3,Comedy
345,6,Drama
346,6,Drama
346,14,Musical
347,6,Drama
347,18,Film-Noir
347,5,Romance
348,3,Comedy
349,7,Action
349,8,Crime
349,6,Drama
349,9,Thriller
350,6,Drama
350,11,Mystery
350,9,Thriller
351,3,Comedy
351,6,Drama
351,5,Romance
352,3,Comedy
352,6,Drama
353,7,Action
353,8,Crime
353,4,Fantasy
353,9,Thriller
354,6,Drama
355,2,Children
355,3,Comedy
355,4,Fantasy
356,3,Comedy
356,6,Drama
356,5,Romance
356,13,War
357,3,Comedy
357,5,Romance
358,6,Drama
359,3,Comedy
359,6,Drama
359,5,Romance
360,7,Action
360,3,Comedy
361,3,Comedy
361,6,Drama
361,5,Romance
362,0,Adventure
362,2,Children
362,5,Romance
363,15,Documentary
364,0,Adventure
364,1,Animation
364,2,Children
364,6,Drama
364,14,Musical
364,16,IMAX
365,6,Drama
366,6,Drama
366,10,Horror
366,11,Mystery
366,9,Thriller
367,7,Action
367,3,Comedy
367,8,Crime
367,4,Fantasy
368,0,Adventure
368,3,Comedy
368,17,Western
369,6,Drama
370,7,Action
370,3,Comedy
371,3,Comedy
371,6,Drama
372,3,Comedy
372,6,Drama
372,5,Romance
373,9,Thriller
374,2,Children
374,3,Comedy
376,7,Action
376,9,Thriller
377,7,Action
377,5,Romance
377,9,Thriller
378,3,Comedy
378,5,Romance
379,7,Action
379,12,Sci-Fi
379,9,Thriller
380,7,Action
380,0,Adventure
380,3,Comedy
380,5,Romance
380,9,Thriller
381,6,Drama
381,5,Romance
382,6,Drama
382,10,Horror
382,5,Romance
382,9,Thriller
383,17,Western
384,7,Action
384,8,Crime
384,6,Drama
385,6,Drama
386,6,Drama
387,7,Action
387,3,Comedy
388,6,Drama
389,6,Drama
389,5,Romance
389,13,War
390,7,Action
390,8,Crime
390,6,Drama
391,8,Crime
391,6,Drama
393,7,Action
393,0,Adventure
393,4,Fantasy
405,7,Action
405,4,Fantasy
406,6,Drama
407,10,Horror
407,9,Thriller
408,6,Drama
409,8,Crime
409,6,Drama
410,2,Children
410,3,Comedy
410,4,Fantasy
412,6,Drama
413,3,Comedy
414,3,Comedy
415,3,Comedy
415,9,Thriller
416,17,Western
417,3,Comedy
417,5,Romance
418,6,Drama
419,3,Comedy
420,7,Action
420,3,Comedy
420,8,Crime
420,9,Thriller
421,0,Adventure
421,2,Children
421,6,Drama
422,9,Thriller
423,7,Action
423,9,Thriller
424,6,Drama
425,6,Drama
425,5,Romance
426,10,Horror
426,12,Sci-Fi
426,9,Thriller
427,6,Drama
427,11,Mystery
427,5,Romance
427,9,Thriller
428,6,Drama
429,3,Comedy
430,3,Comedy
430,6,Drama
431,8,Crime
431,6,Drama
432,0,Adventure
432,3,Comedy
432,17,Western
433,3,Comedy
434,7,Action
434,0,Adventure
434,9,Thriller
435,3,Comedy
435,12,Sci-Fi
436,6,Drama
436,9,Thriller
437,3,Comedy
438,7,Action
438,3,Comedy
438,6,Drama
440,3,Comedy
440,5,Romance
441,3,Comedy
442,7,Action
442,0,Adventure
442,12,Sci-Fi
444,3,Comedy
444,5,Romance
445,3,Comedy
446,6,Drama
446,5,Romance
448,6,Drama
449,3,Comedy
450,3,Comedy
450,6,Drama
451,6,Drama
451,11,Mystery
451,5,Romance
452,6,Drama
453,3,Comedy
453,5,Romance
454,6,Drama
454,9,Thriller
455,0,Adventure
455,2,Children
455,6,Drama
456,8,Crime
456,6,Drama
456,9,Thriller
457,9,Thriller
458,6,Drama
458,17,Western
459,7,Action
459,0,Adventure
459,8,Crime
459,6,Drama
459,5,Romance
459,9,Thriller
460,3,Comedy
461,6,Drama
461,5,Romance
464,7,Action
464,0,Adventure
464,8,Crime
464,9,Thriller
466,7,Action
466,3,Comedy
466,13,War
467,3,Comedy
468,3,Comedy
468,5,Romance
469,6,Drama
469,5,Romance
470,3,Comedy
471,3,Comedy
472,3,Comedy
472,6,Drama
473,3,Comedy
473,13,War
474,7,Action
474,9,Thriller
475,6,Drama
476,3,Comedy
476,6,Drama
477,6,Drama
477,14,Musical
478,3,Comedy
478,8,Crime
478,6,Drama
479,7,Action
479,8,Crime
479,9,Thriller
480,7,Action
480,0,Adventure
480,12,Sci-Fi
480,9,Thriller
481,6,Drama
481,9,Thriller
482,8,Crime
482,6,Drama
482,9,Thriller
484,0,Adventure
484,2,Children
485,7,Action
485,0,Adventure
485,3,Comedy
485,4,Fantasy
486,3,Comedy
487,3,Comedy
487,17,Western
488,6,Drama
488,5,Romance
489,3,Comedy
490,9,Thriller
491,6,Drama
492,3,Comedy
492,11,Mystery
493,7,Action
493,8,Crime
493,6,Drama
494,7,Action
494,0,Adventure
494,9,Thriller
495,6,Drama
496,3,Comedy
496,6,Drama
496,5,Romance
496,9,Thriller
497,3,Comedy
497,5,Romance
499,3,Comedy
499,5,Romance
500,3,Comedy
500,6,Drama
501,6,Drama
502,7,Action
502,2,Children
502,5,Romance
504,7,Action
504,6,Drama
504,12,Sci-Fi
505,3,Comedy
506,6,Drama
506,4,Fantasy
506,5,Romance
507,8,Crime
507,6,Drama
507,9,Thriller
508,6,Drama
509,6,Drama
509,5,Romance
510,6,Drama
511,7,Action
511,6,Drama
512,10,Horror
512,12,Sci-Fi
513,3,Comedy
513,11,Mystery
513,5,Romance
514,3,Comedy
515,6,Drama
515,5,Romance
516,3,Comedy
516,6,Drama
517,7,Action
517,6,Drama
517,11,Mystery
518,3,Comedy
519,7,Action
519,8,Crime
519,6,Drama
519,12,Sci-Fi
519,9,Thriller
520,3,Comedy
521,8,Crime
521,9,Thriller
522,7,Action
522,6,Drama
523,6,Drama
524,6,Drama
526,6,Drama
527,6,Drama
527,13,War
528,3,Comedy
528,6,Drama
529,6,Drama
531,2,Children
531,6,Drama
532,3,Comedy
532,8,Crime
532,10,Horror
533,7,Action
533,0,Adventure
533,4,Fantasy
533,11,Mystery
534,6,Drama
534,5,Romance
535,6,Drama
536,6,Drama
537,6,Drama
538,6,Drama
539,3,Comedy
539,6,Drama
539,5,Romance
540,9,Thriller
541,7,Action
541,12,Sci-Fi
541,9,Thriller
542,3,Comedy
542,6,Drama
542,5,Romance
543,3,Comedy
543,5,Romance
543,9,Thriller
544,7,Action
544,8,Crime
546,7,Action
546,0,Adventure
546,2,Children
546,3,Comedy
546,4,Fantasy
546,12,Sci-Fi
547,7,Action
547,0,Adventure
547,9,Thriller
548,7,Action
548,11,Mystery
548,9,Thriller
549,6,Drama
549,14,Musical
550,3,Comedy
550,5,Romance
551,1,Animation
551,2,Children
551,4,Fantasy
551,14,Musical
552,7,Action
552,0,Adventure
552,3,Comedy
552,5,Romance
553,7,Action
553,6,Drama
553,17,Western
555,8,Crime
555,9,Thriller
556,15,Documentary
558,7,Action
558,0,Adventure
558,1,Animation
558,2,Children
558,4,Fantasy
562,3,Comedy
562,6,Drama
563,6,Drama
563,5,Romance
564,3,Comedy
567,3,Comedy
567,6,Drama
568,3,Comedy
568,6,Drama
569,3,Comedy
569,6,Drama
573,6,Drama
574,3,Comedy
574,6,Drama
575,2,Children
575,3,Comedy
577,0,Adventure
577,2,Children
577,6,Drama
579,8,Crime
579,9,Thriller
580,6,Drama
581,15,Documentary
583,3,Comedy
583,6,Drama
585,3,Comedy
586,2,Children
586,3,Comedy
587,3,Comedy
587,6,Drama
587,4,Fantasy
587,5,Romance
587,9,Thriller
588,0,Adventure
588,1,Animation
588,2,Children
588,3,Comedy
588,14,Musical
589,7,Action
589,12,Sci-Fi
590,0,Adventure
590,6,Drama
590,17,Western
592,7,Action
592,8,Crime
592,9,Thriller
593,8,Crime
593,10,Horror
593,9,Thriller
594,1,Animation
594,2,Children
594,6,Drama
594,4,Fantasy
594,14,Musical
595,1,Animation
595,2,Children
595,4,Fantasy
595,14,Musical
595,5,Romance
595,16,IMAX
596,1,Animation
596,2,Children
596,4,Fantasy
596,14,Musical
597,3,Comedy
597,5,Romance
599,0,Adventure
599,17,Western
600,7,Action
600,3,Comedy
600,8,Crime
602,15,Documentary
605,6,Drama
605,5,Romance
606,4,Fantasy
606,10,Horror
608,3,Comedy
608,8,Crime
608,6,Drama
608,9,Thriller
609,0,Adventure
609,2,Children
610,7,Action
610,0,Adventure
610,1,Animation
610,10,Horror
610,12,Sci-Fi
611,7,Action
611,10,Horror
611,12,Sci-Fi
612,3,Comedy
613,6,Drama
613,5,Romance
615,3,Comedy
615,6,Drama
616,1,Animation
616,2,Children
617,3,Comedy
617,6,Drama
618,3,Comedy
618,5,Romance
619,3,Comedy
626,3,Comedy
627,6,Drama
627,9,Thriller
628,8,Crime
628,6,Drama
628,11,Mystery
628,9,Thriller
631,0,Adventure
631,1,Animation
631,2,Children
631,4,Fantasy
631,14,Musical
631,5,Romance
632,6,Drama
632,13,War
633,3,Comedy
634,3,Comedy
635,3,Comedy
635,6,Drama
636,6,Drama
637,3,Comedy
638,5,Romance
639,3,Comedy
639,6,Drama
640,6,Drama
640,9,Thriller
645,6,Drama
647,7,Action
647,8,Crime
647,6,Drama
647,13,War
648,7,Action
648,0,Adventure
648,11,Mystery
648,9,Thriller
649,3,Comedy
649,6,Drama
650,6,Drama
653,7,Action
653,0,Adventure
653,4,Fantasy
656,3,Comedy
661,0,Adventure
661,1,Animation
661,2,Children
661,4,Fantasy
661,14,Musical
662,9,Thriller
663,3,Comedy
665,3,Comedy
665,6,Drama
665,13,War
667,7,Action
668,6,Drama
670,6,Drama
671,3,Comedy
671,12,Sci-Fi
673,0,Adventure
673,1,Animation
673,2,Children
673,3,Comedy
673,4,Fantasy
673,12,Sci-Fi
674,0,Adventure
674,3,Comedy
674,12,Sci-Fi
678,6,Drama
678,9,Thriller
679,6,Drama
680,6,Drama
680,11,Mystery
680,5,Romance
680,12,Sci-Fi
680,9,Thriller
685,6,Drama
688,7,Action
688,0,Adventure
688,3,Comedy
688,13,War
691,3,Comedy
691,5,Romance
692,7,Action
692,12,Sci-Fi
692,9,Thriller
694,7,Action
694,8,Crime
694,6,Drama
695,11,Mystery
695,9,Thriller
697,6,Drama
697,5,Romance
698,6,Drama
700,3,Comedy
703,6,Drama
704,7,Action
704,0,Adventure
706,6,Drama
707,8,Crime
707,6,Drama
707,9,Thriller
708,3,Comedy
708,5,Romance
709,0,Adventure
709,1,Animation
709,2,Children
709,3,Comedy
709,14,Musical
710,3,Comedy
711,0,Adventure
711,2,Children
714,6,Drama
714,11,Mystery
714,17,Western
715,6,Drama
715,5,Romance
718,3,Comedy
718,4,Fantasy
718,12,Sci-Fi
719,3,Comedy
720,0,Adventure
720,1,Animation
720,3,Comedy
722,15,Documentary
724,6,Drama
724,4,Fantasy
724,10,Horror
724,9,Thriller
725,3,Comedy
726,6,Drama
728,3,Comedy
731,8,Crime
731,9,Thriller
733,7,Action
733,0,Adventure
733,9,Thriller
735,10,Horror
736,7,Action
736,0,Adventure
736,5,Romance
736,9,Thriller
737,7,Action
737,12,Sci-Fi
741,1,Animation
741,12,Sci-Fi
742,10,Horror
742,9,Thriller
743,3,Comedy
745,1,Animation
745,2,Children
745,3,Comedy
747,3,Comedy
748,7,Action
748,12,Sci-Fi
748,9,Thriller
750,3,Comedy
750,13,War
757,6,Drama
759,15,Documentary
760,6,Drama
760,13,War
761,7,Action
761,0,Adventure
762,3,Comedy
762,8,Crime
764,6,Drama
764,5,Romance
765,3,Comedy
765,6,Drama
766,6,Drama
773,6,Drama
775,10,Horror
775,11,Mystery
778,3,Comedy
778,8,Crime
778,6,Drama
779,6,Drama
779,5,Romance
780,7,Action
780,0,Adventure
780,12,Sci-Fi
780,9,Thriller
781,6,Drama
782,6,Drama
782,9,Thriller
783,1,Animation
783,2,Children
783,6,Drama
783,14,Musical
783,5,Romance
784,3,Comedy
784,9,Thriller
785,3,Comedy
786,7,Action
786,6,Drama
786,9,Thriller
788,3,Comedy
788,4,Fantasy
788,5,Romance
788,12,Sci-Fi
790,6,Drama
791,15,Documentary
795,6,Drama
798,7,Action
798,0,Adventure
798,6,Drama
798,9,Thriller
799,3,Comedy
799,10,Horror
799,9,Thriller
800,6,Drama
800,11,Mystery
800,17,Western
801,2,Children
801,3,Comedy
802,6,Drama
802,5,Romance
803,3,Comedy
803,6,Drama
803,5,Romance
804,3,Comedy
804,5,Romance
805,6,Drama
805,9,Thriller
806,8,Crime
806,6,Drama
808,0,Adventure
808,2,Children
809,7,Action
809,0,Adventure
810,2,Children
810,3,Comedy
810,4,Fantasy
813,3,Comedy
818,3,Comedy
823,6,Drama
824,6,Drama
824,11,Mystery
828,0,Adventure
828,2,Children
829,3,Comedy
829,4,Fantasy
829,14,Musical
830,3,Comedy
832,8,Crime
832,9,Thriller
833,3,Comedy
835,6,Drama
836,7,Action
836,0,Adventure
836,9,Thriller
837,2,Children
837,3,Comedy
837,4,Fantasy
838,3,Comedy
838,6,Drama
838,5,Romance
839,7,Action
839,9,Thriller
840,2,Children
840,3,Comedy
841,10,Horror
842,3,Comedy
842,10,Horror
848,6,Drama
849,7,Action
849,0,Adventure
849,12,Sci-Fi
849,9,Thriller
851,6,Drama
852,3,Comedy
852,6,Drama
852,5,Romance
858,8,Crime
858,6,Drama
861,7,Action
861,3,Comedy
861,8,Crime
861,9,Thriller
866,8,Crime
866,6,Drama
866,5,Romance
866,9,Thriller
867,3,Comedy
867,8,Crime
869,8,Crime
869,6,Drama
869,14,Musical
869,9,Thriller
870,3,Comedy
875,7,Action
875,8,Crime
875,6,Drama
876,7,Action
876,3,Comedy
876,8,Crime
876,9,Thriller
879,10,Horror
879,9,Thriller
880,12,Sci-Fi
880,9,Thriller
881,2,Children
881,3,Comedy
882,6,Drama
882,9,Thriller
885,2,Children
885,6,Drama
885,4,Fantasy
886,7,Action
886,3,Comedy
886,8,Crime
888,0,Adventure
888,1,Animation
888,2,Children
888,14,Musical
889,6,Drama
889,5,Romance
891,10,Horror
891,9,Thriller
892,3,Comedy
892,6,Drama
892,5,Romance
893,6,Drama
896,6,Drama
897,0,Adventure
897,6,Drama
897,5,Romance
897,13,War
898,3,Comedy
898,6,Drama
898,5,Romance
899,3,Comedy
899,14,Musical
899,5,Romance
900,14,Musical
900,5,Romance
901,3,Comedy
901,14,Musical
902,6,Drama
902,5,Romance
903,6,Drama
903,11,Mystery
903,5,Romance
903,9,Thriller
904,11,Mystery
904,9,Thriller
905,3,Comedy
905,5,Romance
906,6,Drama
906,9,Thriller
907,3,Comedy
907,14,Musical
907,5,Romance
908,7,Action
908,0,Adventure
908,11,Mystery
908,5,Romance
908,9,Thriller
909,3,Comedy
909,6,Drama
909,5,Romance
910,3,Comedy
910,8,Crime
911,3,Comedy
911,8,Crime
911,11,Mystery
911,5,Romance
911,9,Thriller
912,6,Drama
912,5,Romance
913,18,Film-Noir
913,11,Mystery
914,3,Comedy
914,6,Drama
914,14,Musical
914,5,Romance
915,3,Comedy
915,5,Romance
916,3,Comedy
916,6,Drama
916,5,Romance
917,2,Children
917,6,Drama
918,14,Musical
919,0,Adventure
919,2,Children
919,4,Fantasy
919,14,Musical
920,6,Drama
920,5,Romance
920,13,War
921,3,Comedy
922,6,Drama
922,18,Film-Noir
922,5,Romance
923,6,Drama
923,11,Mystery
924,0,Adventure
924,6,Drama
924,12,Sci-Fi
926,6,Drama
927,3,Comedy
928,6,Drama
928,11,Mystery
928,5,Romance
928,9,Thriller
929,6,Drama
929,18,Film-Noir
929,11,Mystery
929,9,Thriller
930,18,Film-Noir
930,5,Romance
930,9,Thriller
931,11,Mystery
931,5,Romance
931,9,Thriller
932,6,Drama
932,5,Romance
933,8,Crime
933,11,Mystery
933,5,Romance
933,9,Thriller
934,3,Comedy
935,3,Comedy
935,14,Musical
936,3,Comedy
936,5,Romance
937,3,Comedy
937,5,Romance
938,14,Musical
940,7,Action
940,0,Adventure
940,5,Romance
941,0,Adventure
942,8,Crime
942,18,Film-Noir
942,11,Mystery
943,6,Drama
943,4,Fantasy
943,5,Romance
944,6,Drama
945,3,Comedy
945,14,Musical
945,5,Romance
946,3,Comedy
946,6,Drama
946,13,War
947,3,Comedy
947,5,Romance
948,6,Drama
948,5,Romance
948,17,Western
949,6,Drama
950,3,Comedy
950,8,Crime
951,3,Comedy
951,5,Romance
952,0,Adventure
952,3,Comedy
953,2,Children
953,6,Drama
953,4,Fantasy
953,5,Romance
954,6,Drama
955,3,Comedy
955,5,Romance
956,6,Drama
956,5,Romance
959,6,Drama
961,6,Drama
963,14,Musical
965,6,Drama
965,11,Mystery
965,9,Thriller
968,10,Horror
968,12,Sci-Fi
968,9,Thriller
969,0,Adventure
969,3,Comedy
969,5,Romance
969,13,War
970,0,Adventure
970,3,Comedy
970,8,Crime
970,6,Drama
970,5,Romance
971,6,Drama
973,3,Comedy
973,6,Drama
976,5,Romance
976,13,War
979,6,Drama
979,13,War
981,6,Drama
982,6,Drama
984,3,Comedy
984,6,Drama
986,0,Adventure
986,2,Children
987,6,Drama
987,5,Romance
988,3,Comedy
988,6,Drama
990,7,Action
990,0,Adventure
990,9,Thriller
991,6,Drama
993,6,Drama
994,3,Comedy
994,6,Drama
996,7,Action
996,8,Crime
996,6,Drama
996,9,Thriller
998,7,Action
998,8,Crime
